feature_path,transcript
../features\0.npy,yes
../features\1.npy,yes
../features\2.npy,yes
../features\3.npy,yes
../features\4.npy,yes
../features\5.npy,yes
../features\6.npy,yes
../features\7.npy,no
../features\8.npy,no
../features\9.npy,no
../features\10.npy,no
../features\11.npy,no
../features\12.npy,no
../features\13.npy,no
../features\14.npy,hello
../features\15.npy,hello
../features\16.npy,hello
../features\17.npy,hello
../features\18.npy,hello
../features\19.npy,hello
../features\20.npy,hello
../features\21.npy,thank
../features\22.npy,thank
../features\23.npy,thank
../features\24.npy,thank
../features\25.npy,thank
../features\26.npy,thank
../features\27.npy,thank
../features\28.npy,you
../features\29.npy,you
../features\30.npy,you
../features\31.npy,you
../features\32.npy,you
../features\33.npy,you
../features\34.npy,you
../features\35.npy,please
../features\36.npy,please
../features\37.npy,please
../features\38.npy,please
../features\39.npy,please
../features\40.npy,please
../features\41.npy,please
../features\42.npy,good
../features\43.npy,good
../features\44.npy,good
../features\45.npy,good
../features\46.npy,good
../features\47.npy,good
../features\48.npy,good
../features\49.npy,morning
../features\50.npy,morning
../features\51.npy,morning
../features\52.npy,morning
../features\53.npy,morning
../features\54.npy,morning
../features\55.npy,morning
../features\56.npy,yes
../features\57.npy,yes
../features\58.npy,yes
../features\59.npy,yes
../features\60.npy,yes
../features\61.npy,yes
../features\62.npy,yes
../features\63.npy,no
../features\64.npy,no
../features\65.npy,no
../features\66.npy,no
../features\67.npy,no
../features\68.npy,no
../features\69.npy,no
../features\70.npy,hello
../features\71.npy,hello
../features\72.npy,hello
../features\73.npy,hello
../features\74.npy,hello
../features\75.npy,hello
../features\76.npy,hello
../features\77.npy,thank
../features\78.npy,thank
../features\79.npy,thank
../features\80.npy,thank
../features\81.npy,thank
../features\82.npy,thank
../features\83.npy,thank
../features\84.npy,you
../features\85.npy,you
../features\86.npy,you
../features\87.npy,you
../features\88.npy,you
../features\89.npy,you
../features\90.npy,you
../features\91.npy,please
../features\92.npy,please
../features\93.npy,please
../features\94.npy,please
../features\95.npy,please
../features\96.npy,please
../features\97.npy,please
../features\98.npy,good
../features\99.npy,good
../features\100.npy,good
../features\101.npy,good
../features\102.npy,good
../features\103.npy,good
../features\104.npy,good
../features\105.npy,morning
../features\106.npy,morning
../features\107.npy,morning
../features\108.npy,morning
../features\109.npy,morning
../features\110.npy,morning
../features\111.npy,morning
../features\112.npy,yes
../features\113.npy,yes
../features\114.npy,yes
../features\115.npy,yes
../features\116.npy,yes
../features\117.npy,yes
../features\118.npy,yes
../features\119.npy,no
../features\120.npy,no
../features\121.npy,no
../features\122.npy,no
../features\123.npy,no
../features\124.npy,no
../features\125.npy,no
../features\126.npy,hello
../features\127.npy,hello
../features\128.npy,hello
../features\129.npy,hello
../features\130.npy,hello
../features\131.npy,hello
../features\132.npy,hello
../features\133.npy,thank
../features\134.npy,thank
../features\135.npy,thank
../features\136.npy,thank
../features\137.npy,thank
../features\138.npy,thank
../features\139.npy,thank
../features\140.npy,you
../features\141.npy,you
../features\142.npy,you
../features\143.npy,you
../features\144.npy,you
../features\145.npy,you
../features\146.npy,you
../features\147.npy,please
../features\148.npy,please
../features\149.npy,please
../features\150.npy,please
../features\151.npy,please
../features\152.npy,please
../features\153.npy,please
../features\154.npy,good
../features\155.npy,good
../features\156.npy,good
../features\157.npy,good
../features\158.npy,good
../features\159.npy,good
../features\160.npy,good
../features\161.npy,morning
../features\162.npy,morning
../features\163.npy,morning
../features\164.npy,morning
../features\165.npy,morning
../features\166.npy,morning
../features\167.npy,morning
../features\168.npy,yes
../features\169.npy,yes
../features\170.npy,yes
../features\171.npy,yes
../features\172.npy,yes
../features\173.npy,yes
../features\174.npy,yes
../features\175.npy,no
../features\176.npy,no
../features\177.npy,no
../features\178.npy,no
../features\179.npy,no
../features\180.npy,no
../features\181.npy,no
../features\182.npy,hello
../features\183.npy,hello
../features\184.npy,hello
../features\185.npy,hello
../features\186.npy,hello
../features\187.npy,hello
../features\188.npy,hello
../features\189.npy,thank
../features\190.npy,thank
../features\191.npy,thank
../features\192.npy,thank
../features\193.npy,thank
../features\194.npy,thank
../features\195.npy,thank
../features\196.npy,you
../features\197.npy,you
../features\198.npy,you
../features\199.npy,you
../features\200.npy,you
../features\201.npy,you
../features\202.npy,you
../features\203.npy,please
../features\204.npy,please
../features\205.npy,please
../features\206.npy,please
../features\207.npy,please
../features\208.npy,please
../features\209.npy,please
../features\210.npy,good
../features\211.npy,good
../features\212.npy,good
../features\213.npy,good
../features\214.npy,good
../features\215.npy,good
../features\216.npy,good
../features\217.npy,morning
../features\218.npy,morning
../features\219.npy,morning
../features\220.npy,morning
../features\221.npy,morning
../features\222.npy,morning
../features\223.npy,morning
../features\224.npy,yes
../features\225.npy,yes
../features\226.npy,yes
../features\227.npy,yes
../features\228.npy,yes
../features\229.npy,yes
../features\230.npy,yes
../features\231.npy,no
../features\232.npy,no
../features\233.npy,no
../features\234.npy,no
../features\235.npy,no
../features\236.npy,no
../features\237.npy,no
../features\238.npy,hello
../features\239.npy,hello
../features\240.npy,hello
../features\241.npy,hello
../features\242.npy,hello
../features\243.npy,hello
../features\244.npy,hello
../features\245.npy,thank
../features\246.npy,thank
../features\247.npy,thank
../features\248.npy,thank
../features\249.npy,thank
../features\250.npy,thank
../features\251.npy,thank
../features\252.npy,you
../features\253.npy,you
../features\254.npy,you
../features\255.npy,you
../features\256.npy,you
../features\257.npy,you
../features\258.npy,you
../features\259.npy,please
../features\260.npy,please
../features\261.npy,please
../features\262.npy,please
../features\263.npy,please
../features\264.npy,please
../features\265.npy,please
../features\266.npy,good
../features\267.npy,good
../features\268.npy,good
../features\269.npy,good
../features\270.npy,good
../features\271.npy,good
../features\272.npy,good
../features\273.npy,morning
../features\274.npy,morning
../features\275.npy,morning
../features\276.npy,morning
../features\277.npy,morning
../features\278.npy,morning
../features\279.npy,morning
../features\280.npy,yes
../features\281.npy,yes
../features\282.npy,yes
../features\283.npy,yes
../features\284.npy,yes
../features\285.npy,yes
../features\286.npy,yes
../features\287.npy,no
../features\288.npy,no
../features\289.npy,no
../features\290.npy,no
../features\291.npy,no
../features\292.npy,no
../features\293.npy,no
../features\294.npy,hello
../features\295.npy,hello
../features\296.npy,hello
../features\297.npy,hello
../features\298.npy,hello
../features\299.npy,hello
../features\300.npy,hello
../features\301.npy,thank
../features\302.npy,thank
../features\303.npy,thank
../features\304.npy,thank
../features\305.npy,thank
../features\306.npy,thank
../features\307.npy,thank
../features\308.npy,you
../features\309.npy,you
../features\310.npy,you
../features\311.npy,you
../features\312.npy,you
../features\313.npy,you
../features\314.npy,you
../features\315.npy,please
../features\316.npy,please
../features\317.npy,please
../features\318.npy,please
../features\319.npy,please
../features\320.npy,please
../features\321.npy,please
../features\322.npy,good
../features\323.npy,good
../features\324.npy,good
../features\325.npy,good
../features\326.npy,good
../features\327.npy,good
../features\328.npy,good
../features\329.npy,morning
../features\330.npy,morning
../features\331.npy,morning
../features\332.npy,morning
../features\333.npy,morning
../features\334.npy,morning
../features\335.npy,morning
../features\336.npy,yes
../features\337.npy,yes
../features\338.npy,yes
../features\339.npy,yes
../features\340.npy,yes
../features\341.npy,yes
../features\342.npy,yes
../features\343.npy,no
../features\344.npy,no
../features\345.npy,no
../features\346.npy,no
../features\347.npy,no
../features\348.npy,no
../features\349.npy,no
../features\350.npy,hello
../features\351.npy,hello
../features\352.npy,hello
../features\353.npy,hello
../features\354.npy,hello
../features\355.npy,hello
../features\356.npy,hello
../features\357.npy,thank
../features\358.npy,thank
../features\359.npy,thank
../features\360.npy,thank
../features\361.npy,thank
../features\362.npy,thank
../features\363.npy,thank
../features\364.npy,you
../features\365.npy,you
../features\366.npy,you
../features\367.npy,you
../features\368.npy,you
../features\369.npy,you
../features\370.npy,you
../features\371.npy,please
../features\372.npy,please
../features\373.npy,please
../features\374.npy,please
../features\375.npy,please
../features\376.npy,please
../features\377.npy,please
../features\378.npy,good
../features\379.npy,good
../features\380.npy,good
../features\381.npy,good
../features\382.npy,good
../features\383.npy,good
../features\384.npy,good
../features\385.npy,morning
../features\386.npy,morning
../features\387.npy,morning
../features\388.npy,morning
../features\389.npy,morning
../features\390.npy,morning
../features\391.npy,morning
../features\392.npy,yes
../features\393.npy,yes
../features\394.npy,yes
../features\395.npy,yes
../features\396.npy,yes
../features\397.npy,yes
../features\398.npy,yes
../features\399.npy,no
../features\400.npy,no
../features\401.npy,no
../features\402.npy,no
../features\403.npy,no
../features\404.npy,no
../features\405.npy,no
../features\406.npy,hello
../features\407.npy,hello
../features\408.npy,hello
../features\409.npy,hello
../features\410.npy,hello
../features\411.npy,hello
../features\412.npy,hello
../features\413.npy,thank
../features\414.npy,thank
../features\415.npy,thank
../features\416.npy,thank
../features\417.npy,thank
../features\418.npy,thank
../features\419.npy,thank
../features\420.npy,you
../features\421.npy,you
../features\422.npy,you
../features\423.npy,you
../features\424.npy,you
../features\425.npy,you
../features\426.npy,you
../features\427.npy,please
../features\428.npy,please
../features\429.npy,please
../features\430.npy,please
../features\431.npy,please
